Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
Juan Bernat,Ligue 1,Paris Saint-Germain,ESP,DEF,28,15,12,958,10.6,0,0,0,0,0,2,0,0.0,0.0,0.0
Mauro Icardi,Ligue 1,Paris Saint-Germain,ARG,ATA,28,24,10,1027,11.4,4,0,4,0,0,1,0,0.35,0.0,0.35
Abdou Diallo,Ligue 1,Paris Saint-Germain,SEN,DEF,25,12,10,877,9.7,0,1,0,0,0,1,0,0.0,0.1,0.1
Leandro Paredes,Ligue 1,Paris Saint-Germain,ARG,MEI,27,15,10,838,9.3,1,2,1,0,0,3,0,0.11,0.22,0.32
Sergio Ramos,Ligue 1,Paris Saint-Germain,ESP,DEF,35,12,8,801,8.9,2,0,2,0,0,3,1,0.22,0.0,0.22
Julian Draxler,Ligue 1,Paris Saint-Germain,GER,ATA,27,18,5,548,6.1,2,1,2,0,0,0,0,0.33,0.16,0.49
Junior Dina Ebimbe,Ligue 1,Paris Saint-Germain,FRA,MEI,20,10,4,316,3.5,0,0,0,0,0,2,0,0.0,0.0,0.0
Rafinha,Ligue 1,Paris Saint-Germain,BRA,ATA,28,5,3,220,2.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Colin Dagba,Ligue 1,Paris Saint-Germain,FRA,DEF,22,3,2,165,1.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Xavi Simons,Ligue 1,Paris Saint-Germain,NED,ATA,18,6,1,132,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0
Edouard Michut,Ligue 1,Paris Saint-Germain,FRA,MEI,18,5,0,70,0.8,0,1,0,0,0,0,1,0.0,1.25,1.25
Sergio Rico,Ligue 1,Paris Saint-Germain,ESP,GK,27,1,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Pablo Sarabia,Ligue 1,Paris Saint-Germain,ESP,ATA,29,2,0,22,0.2,1,0,1,0,0,1,0,5.0,0.0,5.0
Sekou Yansané,Ligue 1,Paris Saint-Germain,GUI,ATA,18,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Nathan Bitu Mazala,Ligue 1,Paris Saint-Germain,FRA,DEF,18,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Arnaud Kalimuendo,Ligue 1,Paris Saint-Germain,FRA,ATA,19,2,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Alexandre Letellier,Ligue 1,Paris Saint-Germain,FRA,GK,30,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
El Chadaille Bitshiabu,Ligue 1,Paris Saint-Germain,FRA,DEF,16,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Thibaut Courtois,La Liga,Real Madrid,BEL,GK,29,36,36,3240,36.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Éder Militão,La Liga,Real Madrid,BRA,DEF,23,34,34,3031,33.7,1,2,1,0,0,5,0,0.03,0.06,0.09
Karim Benzema,La Liga,Real Madrid,FRA,ATA,33,32,31,2593,28.8,27,12,20,7,11,0,0,0.94,0.42,1.35
Casemiro,La Liga,Real Madrid,BRA,MEI,29,32,31,2569,28.5,1,3,1,0,0,11,0,0.04,0.11,0.14
Vinicius Júnior,La Liga,Real Madrid,BRA,ATA,21,35,30,2690,29.9,17,10,17,0,0,6,0,0.57,0.33,0.9
David Alaba,La Liga,Real Madrid,AUT,DEF,29,30,30,2642,29.4,2,3,2,0,0,2,0,0.07,0.1,0.17
Toni Kroos,La Liga,Real Madrid,GER,MEI,31,28,25,2103,23.4,1,3,1,0,0,4,0,0.04,0.13,0.17
Luka Modrić,La Liga,Real Madrid,CRO,MEI,35,28,25,2032,22.6,2,8,1,1,1,4,0,0.09,0.35,0.44
Lucas Vázquez,La Liga,Real Madrid,ESP,DEF,30,29,20,1833,20.4,3,0,3,0,0,3,0,0.15,0.0,0.15
Ferland Mendy,La Liga,Real Madrid,FRA,DEF,26,22,20,1734,19.3,2,1,2,0,0,4,0,0.1,0.05,0.16
Federico Valverde,La Liga,Real Madrid,URU,MEI,23,31,19,1833,20.4,0,1,0,0,0,2,0,0.0,0.05,0.05
Marco Asensio,La Liga,Real Madrid,ESP,ATA,25,31,19,1731,19.2,10,0,10,0,0,2,0,0.52,0.0,0.52
Nacho,La Liga,Real Madrid,ESP,DEF,31,28,17,1555,17.3,3,0,3,0,0,7,0,0.17,0.0,0.17
Dani Carvajal,La Liga,Real Madrid,ESP,DEF,29,24,17,1551,17.2,1,3,1,0,0,1,0,0.06,0.17,0.23
Rodrygo,La Liga,Real Madrid,BRA,ATA,20,32,16,1459,16.2,4,4,4,0,0,4,0,0.25,0.25,0.49
Eduardo Camavinga,La Liga,Real Madrid,FRA,MEI,18,25,12,1191,13.2,2,1,2,0,0,8,0,0.15,0.08,0.23
Eden Hazard,La Liga,Real Madrid,BEL,ATA,30,18,7,717,8.0,0,1,0,0,0,3,0,0.0,0.12,0.12
Marcelo,La Liga,Real Madrid,BRA,DEF,33,11,4,442,4.9,0,2,0,0,0,0,0,0.0,0.41,0.41
Jesús Vallejo,La Liga,Real Madrid,ESP,DEF,24,5,4,341,3.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Gareth Bale,La Liga,Real Madrid,WAL,ATA,32,5,4,280,3.1,1,0,1,0,0,2,0,0.32,0.0,0.32
Mariano,La Liga,Real Madrid,DOM,ATA,27,9,3,342,3.8,1,1,1,0,0,2,0,0.26,0.26,0.53
Miguel Gutiérrez,La Liga,Real Madrid,ESP,DEF,20,3,3,260,2.9,0,1,0,0,0,1,0,0.0,0.34,0.34
Dani Ceballos,La Liga,Real Madrid,ESP,MEI,24,11,2,276,3.1,0,0,0,0,0,1,0,0.0,0.0,0.0
Isco,La Liga,Real Madrid,ESP,MEI,29,13,2,267,3.0,1,0,1,0,0,1,0,0.33,0.0,0.33
Andriy Lunin,La Liga,Real Madrid,UKR,GK,22,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luka Jović,La Liga,Real Madrid,SRB,ATA,23,15,1,369,4.1,1,3,1,0,0,1,0,0.24,0.73,0.98
Blanco,La Liga,Real Madrid,ESP,MEI,21,1,0,31,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Peter González,La Liga,Real Madrid,DOM,MEI,19,3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Mario Gila,La Liga,Real Madrid,ESP,DEF,20,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Sergio Santos,La Liga,Real Madrid,ESP,DEF,20,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Latasa,La Liga,Real Madrid,ESP,ATA,20,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Mike Maignan,Serie A,Milan,FRA,GK,26,32,32,2880,32.0,0,1,0,0,0,1,0,0.0,0.03,0.03
Rafael Leão,Serie A,Milan,POR,ATA,22,34,31,2605,28.9,11,10,11,0,0,4,0,0.38,0.35,0.73
Sandro Tonali,Serie A,Milan,ITA,MEI,21,36,31,2600,28.9,5,2,5,0,0,9,0,0.17,0.07,0.24
Fikayo Tomori,Serie A,Milan,ENG,DEF,23,31,30,2718,30.2,0,0,0,0,0,4,0,0.0,0.0,0.0
Theo Hernández,Serie A,Milan,FRA,DEF,23,32,30,2711,30.1,5,5,4,1,2,7,2,0.17,0.17,0.33
Franck Kessié,Serie A,Milan,CIV,MEI,24,31,25,2308,25.6,6,0,4,2,3,2,0,0.23,0.0,0.23
Brahim Díaz,Serie A,Milan,ESP,MEI,21,31,25,1855,20.6,3,3,3,0,0,4,0,0.15,0.15,0.29
Davide Calabria,Serie A,Milan,ITA,DEF,24,26,24,2119,23.5,2,2,2,0,0,2,0,0.09,0.09,0.17
Olivier Giroud,Serie A,Milan,FRA,ATA,34,29,22,1892,21.0,11,3,9,2,2,4,0,0.52,0.14,0.67
Alexis Saelemaekers,Serie A,Milan,BEL,ATA,22,36,22,1865,20.7,1,3,1,0,0,2,0,0.05,0.14,0.19
Pierre Kalulu,Serie A,Milan,FRA,DEF,21,28,21,1944,21.6,1,2,1,0,0,4,0,0.05,0.09,0.14
Alessio Romagnoli,Serie A,Milan,ITA,DEF,26,19,16,1409,15.7,1,0,1,0,0,4,1,0.06,0.0,0.06
Ismaël Bennacer,Serie A,Milan,ALG,MEI,23,31,15,1525,16.9,2,1,2,0,0,7,0,0.12,0.06,0.18
Rade Krunić,Serie A,Milan,BIH,MEI,27,28,15,1416,15.7,0,1,0,0,0,2,0,0.0,0.06,0.06
Junior Messias,Serie A,Milan,BRA,ATA,30,26,14,1428,15.9,5,2,5,0,0,2,0,0.31,0.13,0.44
Alessandro Florenzi,Serie A,Milan,ITA,DEF,30,24,12,1152,12.8,2,0,2,0,0,2,0,0.16,0.0,0.16
Zlatan Ibrahimović,Serie A,Milan,SWE,ATA,39,23,11,1016,11.3,8,2,8,0,1,2,0,0.71,0.18,0.88
Simon Kjær,Serie A,Milan,DEN,DEF,32,11,10,802,8.9,0,0,0,0,0,2,0,0.0,0.0,0.0
Ante Rebić,Serie A,Milan,CRO,ATA,27,24,6,891,9.9,2,2,2,0,0,2,0,0.2,0.2,0.4
Ciprian Tătărușanu,Serie A,Milan,ROU,GK,35,6,6,540,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matteo Gabbia,Serie A,Milan,ITA,DEF,21,8,6,537,6.0,0,0,0,0,0,3,0,0.0,0.0,0.0
Tiemoué Bakayoko,Serie A,Milan,FRA,MEI,26,14,5,501,5.6,0,0,0,0,0,3,0,0.0,0.0,0.0
Fodé Ballo-Touré,Serie A,Milan,SEN,DEF,24,10,5,446,5.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Daniel Maldini,Serie A,Milan,ITA,MEI,19,8,2,148,1.6,1,0,1,0,0,1,0,0.62,0.0,0.62
Pietro Pellegri,Serie A,Milan,ITA,ATA,20,6,1,131,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Samu Castillejo,Serie A,Milan,ESP,ATA,26,5,1,125,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Andrea Conti,Serie A,Milan,ITA,DEF,27,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Samir Handanović,Serie A,Internazionale,SVN,GK,37,37,37,3330,37.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Nicolò Barella,Serie A,Internazionale,ITA,MEI,24,36,36,2913,32.4,3,11,3,0,0,9,0,0.09,0.34,0.43
Milan Škriniar,Serie A,Internazionale,SVK,DEF,26,35,35,3150,35.0,3,0,3,0,0,3,0,0.09,0.0,0.09
Marcelo Brozović,Serie A,Internazionale,CRO,MEI,28,35,35,2937,32.6,2,1,2,0,0,7,0,0.06,0.03,0.09
Ivan Perišić,Serie A,Internazionale,CRO,DEF,32,35,35,2821,31.3,8,6,7,1,1,4,0,0.26,0.19,0.45
Hakan Çalhanoğlu,Serie A,Internazionale,TUR,MEI,27,34,33,2480,27.6,7,12,4,3,3,11,0,0.25,0.43,0.69
Alessandro Bastoni,Serie A,Internazionale,ITA,DEF,22,31,29,2311,25.7,1,2,1,0,0,4,0,0.04,0.08,0.12
Stefan de Vrij,Serie A,Internazionale,NED,DEF,29,30,28,2410,26.8,0,0,0,0,0,3,0,0.0,0.0,0.0
Lautaro Martínez,Serie A,Internazionale,ARG,ATA,23,35,28,2282,25.4,21,3,18,3,6,6,0,0.83,0.12,0.94
Edin Džeko,Serie A,Internazionale,BIH,ATA,35,36,27,2469,27.4,13,6,13,0,0,2,0,0.47,0.22,0.69
