Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
James Milner,Premier League,Liverpool,ENG,MEI,35,24,9,853,9.5,0,1,0,0,0,2,0,0.0,0.11,0.11
Alex Oxlade-Chamberlain,Premier League,Liverpool,ENG,MEI,27,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34
Harvey Elliott,Premier League,Liverpool,ENG,MEI,18,6,4,346,3.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Joe Gomez,Premier League,Liverpool,ENG,DEF,24,8,4,331,3.7,0,1,0,0,0,2,0,0.0,0.27,0.27
Caoimhín Kelleher,Premier League,Liverpool,IRL,GK,22,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Takumi Minamino,Premier League,Liverpool,JPN,ATA,26,11,1,186,2.1,3,0,3,0,0,1,0,1.43,0.0,1.43
Tyler Morton,Premier League,Liverpool,ENG,MEI,18,2,1,66,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0
Divock Origi,Premier League,Liverpool,BEL,ATA,26,7,0,133,1.5,3,0,3,0,0,0,0,2.0,0.0,2.0
Kaide Gordon,Premier League,Liverpool,ENG,ATA,16,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Neco Williams,Premier League,Liverpool,WAL,DEF,20,1,0,8,0.1,0,1,0,0,0,0,0,0.0,10.0,10.0
Robert Lewandowski,Bundesliga,Bayern Munich,POL,ATA,32,34,34,2946,32.7,35,3,30,5,5,2,0,1.07,0.09,1.16
Thomas Müller,Bundesliga,Bayern Munich,GER,MEI,31,32,32,2558,28.4,8,18,8,0,0,0,0,0.28,0.63,0.92
Manuel Neuer,Bundesliga,Bayern Munich,GER,GK,35,28,28,2510,27.9,0,0,0,0,0,0,0,0.0,0.0,0.0
Joshua Kimmich,Bundesliga,Bayern Munich,GER,MEI,26,28,28,2474,27.5,3,9,3,0,0,4,0,0.11,0.33,0.44
Dayot Upamecano,Bundesliga,Bayern Munich,FRA,DEF,22,28,25,2211,24.6,1,6,1,0,0,4,0,0.04,0.24,0.28
Serge Gnabry,Bundesliga,Bayern Munich,GER,ATA,26,34,25,2185,24.3,14,5,14,0,0,0,0,0.58,0.21,0.78
Lucas Hernández,Bundesliga,Bayern Munich,FRA,DEF,25,25,25,2030,22.6,0,1,0,0,0,7,0,0.0,0.04,0.04
